,Albuquerque,Anchorage,Baltimore,Billings,Birmingham,Charleston,Charlotte,Chicago,Detroit,Fargo,Houston,Jacksonville,Louisville,Manchester,Milwaukee,Minneapolis,Omaha,Philadelphia,Portland,Seattle,Wichita
42,6750.0,175.0,50.0,3000.0,0.0,1.0,6000.0,995.0,2000.0,17900.0,5500.0,695.0,50.0,0.0,36916.0,100.0,62995.0,85.0,90000.0,24900.0,1290.0
43,7000.0,750.0,3200.0,100.0,0.0,6000.0,300.0,40.0,175.0,12500.0,5700.0,397.0,29.0,0.0,29500.0,39900.0,3500.0,1000.0,200.0,1800.0,299.0
44,15500.0,300.0,5000.0,19999.0,0.0,11500.0,13000.0,84999.0,29500.0,13900.0,150.0,21500.0,150.0,0.0,55591.0,80.0,17995.0,13995.0,375.0,4500.0,19900.0
45,46900.0,105000.0,50.0,34999.0,0.0,27485.0,75.0,25.0,35.0,10995.0,3950.0,15.0,30.0,0.0,65261.0,100.0,24995.0,2000.0,12500.0,20.0,16500.0
46,22000.0,73299.0,4500.0,5250.0,0.0,9995.0,22000.0,12995.0,29600.0,10995.0,10500.0,78000.0,250.0,0.0,61666.0,49500.0,23995.0,950.0,12500.0,3000.0,7.0
47,8998.0,79900.0,75.0,55999.0,0.0,50.0,795.0,80.0,50.0,1099.0,1.0,27300.0,225.0,0.0,62461.0,19800.0,397.0,950.0,5000.0,8000.0,100.0
48,11998.0,36000.0,49900.0,22500.0,0.0,18000.0,174500.0,13300.0,12500.0,23900.0,11900.0,17900.0,397.0,0.0,20.0,19800.0,53999.0,30.0,39.0,11000.0,36000.0
49,12998.0,3200.0,350.0,62499.0,0.0,8900.0,10.0,13300.0,1.0,33800.0,75.0,30.0,35.0,0.0,29050.0,10500.0,29999.0,2000.0,1800.0,360.0,20.0
50,4525.0,60.0,25.0,3000.0,0.0,11500.0,37870.0,13300.0,280.0,1600.0,1899999.0,40000.0,100.0,0.0,200.0,10500.0,87579.0,3995.0,49000.0,200.0,55.0
51,75.0,2500.0,190.0,8500.0,0.0,7900.0,1.0,74500.0,495.0,16995.0,75.0,59777.0,4800.0,0.0,1.0,15.0,29800.0,7500.0,8000.0,28900.0,14000.0
52,28998.0,100.0,25750.0,73919.0,0.0,12700.0,9500.0,14500.0,1.0,18995.0,12000.0,145.0,17500.0,0.0,7500.0,9500.0,125.0,13300.0,100.0,150.0,400.0
53,33500.0,200.0,225.0,9995.0,0.0,17900.0,9500.0,159.0,10.0,20.0,1.0,38000.0,12995.0,0.0,2600.0,3000.0,56999.0,397.0,795.0,13500.0,80.0
